ACC: {'accuracy': 0.9747692307692307, 'precision': 0.9646910466582598, 'recall': 0.9832904884318766, 'f1_score': 0.973901973265436} | HL: [4] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9747692307692307, 'precision': 0.9646910466582598, 'recall': 0.9832904884318766, 'f1_score': 0.973901973265436} | HL: [4, 4] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9747692307692307, 'precision': 0.9646910466582598, 'recall': 0.9832904884318766, 'f1_score': 0.973901973265436} | HL: [5] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9747692307692307, 'precision': 0.965865992414665, 'recall': 0.9820051413881749, 'f1_score': 0.9738687061822817} | HL: [8, 8, 8, 8] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9747692307692307, 'precision': 0.9646910466582598, 'recall': 0.9832904884318766, 'f1_score': 0.973901973265436} | HL: [9] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9747692307692307, 'precision': 0.9646910466582598, 'recall': 0.9832904884318766, 'f1_score': 0.973901973265436} | HL: [9, 9] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9741538461538461, 'precision': 0.9646464646464646, 'recall': 0.9820051413881749, 'f1_score': 0.9732484076433121} | HL: [3] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9741538461538461, 'precision': 0.9646464646464646, 'recall': 0.9820051413881749, 'f1_score': 0.9732484076433121} | HL: [3] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [1] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [1] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [1] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [1] | BS: 32 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [1] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [1] | BS: 64 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [1, 1] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9735384615384616, 'precision': 0.9646017699115044, 'recall': 0.980719794344473, 'f1_score': 0.9725940089228807} | HL: [1, 1] | BS: 32 | LR: 0.01
