ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [2] | BS: 16 | LR: 0.05
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [2] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [2] | BS: 32 | LR: 0.1
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [2] | BS: 32 | LR: 0.05
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [2] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [2, 2] | BS: 16 | LR: 0.05
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [2, 2] | BS: 32 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [2, 2] | BS: 64 | LR: 0.05
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [2, 2] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [2, 2, 2, 2] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [2, 2, 2, 2] | BS: 32 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [2, 2, 2, 2] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3] | BS: 16 | LR: 0.05
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3] | BS: 32 | LR: 0.1
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3, 3] | BS: 16 | LR: 0.05
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3, 3] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3, 3] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3, 3] | BS: 32 | LR: 0.05
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3, 3] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3, 3] | BS: 32 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3, 3] | BS: 64 | LR: 0.1
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3, 3] | BS: 64 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3, 3, 3, 3] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3, 3, 3, 3] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3, 3, 3, 3] | BS: 64 | LR: 0.05
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [3, 3, 3, 3] | BS: 64 | LR: 0.01
